Car Make,Location,Chassis No,Version/Class,Model Code,Milleage,Engine Size (CC),Engine Code,Drive,Steering,Transmission,External Color,Registration Year/Month,Fuel,Manufacture Year/Month,Price($)
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF1239,AUTOMATIC DIESEL,0,"48,000 mile","2,200cc",-,4wheel drive,Right,Automatic,White,2016/5,Diesel,-,19147
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF1240,MANUAL DIESEL,0,"11,371 mile","2,200cc",-,4wheel drive,Right,Manual,White,2018/9,Diesel,-,25000
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF1243,AUTOMATIC DIESEL,0,"42,059 mile","2,200cc",-,4wheel drive,Right,Automatic,White,2016/4,Diesel,-,19773
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF1244,AUTOMATIC DIESEL,0,"16,444 mile","2,200cc",-,4wheel drive,Right,Automatic,Blue,2016/7,Diesel,-,21619
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF1248,MANUAL DIESEL,0,"66,718 mile","2,200cc",-,4wheel drive,Right,Manual,White,2016/7,Electric,-,15207
 MITSUBISHI OUTLANDER,UNITED KINGDOM,JMF1251,MANUAL DIESEL,0,"40,000 mile","2,200cc",-,4wheel drive,Right,Manual,White,2016/3,Diesel,-,19153
 MITSUBISHI ASX,UNITED KINGDOM,JMF1151,MANUAL DIESEL,0,"24,609 mile","1,600cc",-,4wheel drive,Right,Manual,Brown,2016/6,Diesel,-,14000
 MITSUBISHI ASX,UNITED KINGDOM,JMF1153,MANUAL DIESEL,0,"29,759 mile","1,600cc",-,4wheel drive,Right,Manual,Blue,2017/3,Diesel,-,17700
 MITSUBISHI ASX,UNITED KINGDOM,JMF1154,MANUAL DIESEL,0,"18,000 mile","1,600cc",-,4wheel drive,Right,Manual,Gray,2017/1,Diesel,-,16600
 MITSUBISHI ASX,UNITED KINGDOM,JMF1155,MANUAL DIESEL,0,"26,503 mile","1,600cc",-,4wheel drive,Right,Manual,Blue,2017/5,Diesel,-,17900
 MITSUBISHI ASX,UNITED KINGDOM,JMF1156,MANUAL DIESEL,0,"3,700 mile","1,600cc",-,4wheel drive,Right,Manual,Blue,2018/9,Diesel,-,20000
